3 	 0.450000 	 0.050000 	 0.750000 	 32 	4000 	 10 	 32 	 2 	 2000 	 8251.393660
0 	 0.090000 	 0.010000 	 0.900000 	 32 	4000 	 10 	 32 	 2 	 2000 	 15766.979748
1 	 0.090000 	 0.010000 	 0.900000 	 32 	4000 	 10 	 32 	 2 	 2000 	 14961.687923
2 	 0.090000 	 0.010000 	 0.900000 	 32 	4000 	 10 	 32 	 2 	 2000 	 12272.626233
3 	 0.090000 	 0.010000 	 0.900000 	 32 	4000 	 10 	 32 	 2 	 2000 	 11169.476819
0 	 0.450000 	 0.050000 	 0.900000 	 32 	4000 	 10 	 32 	 2 	 2000 	 5542.198993
1 	 0.450000 	 0.050000 	 0.900000 	 32 	4000 	 10 	 32 	 2 	 2000 	 6048.064312
2 	 0.450000 	 0.050000 	 0.900000 	 32 	4000 	 10 	 32 	 2 	 2000 	 13692.693073
3 	 0.450000 	 0.050000 	 0.900000 	 32 	4000 	 10 	 32 	 2 	 2000 	 5275.521318
0 	 0.090000 	 0.010000 	 0.990000 	 32 	4000 	 10 	 32 	 2 	 2000 	 7674.977430
1 	 0.090000 	 0.010000 	 0.990000 	 32 	4000 	 10 	 32 	 2 	 2000 	 8409.847244
2 	 0.090000 	 0.010000 	 0.990000 	 32 	4000 	 10 	 32 	 2 	 2000 	 5340.453062
3 	 0.090000 	 0.010000 	 0.990000 	 32 	4000 	 10 	 32 	 2 	 2000 	 12396.011453
0 	 0.450000 	 0.050000 	 0.990000 	 32 	4000 	 10 	 32 	 2 	 2000 	 6244.511163
1 	 0.450000 	 0.050000 	 0.990000 	 32 	4000 	 10 	 32 	 2 	 2000 	 20697.361389
2 	 0.450000 	 0.050000 	 0.990000 	 32 	4000 	 10 	 32 	 2 	 2000 	 10244.198756
3 	 0.450000 	 0.050000 	 0.990000 	 32 	4000 	 10 	 32 	 2 	 2000 	 4740.679404
0 	 0.090000 	 0.010000 	 0.500000 	 32 	4000 	 10 	 32 	 4 	 2000 	 4526.168233
1 	 0.090000 	 0.010000 	 0.500000 	 32 	4000 	 10 	 32 	 4 	 2000 	 6861.368540
2 	 0.090000 	 0.010000 	 0.500000 	 32 	4000 	 10 	 32 	 4 	 2000 	 6258.437040
3 	 0.090000 	 0.010000 	 0.500000 	 32 	4000 	 10 	 32 	 4 	 2000 	 5024.067835
0 	 0.450000 	 0.050000 	 0.500000 	 32 	4000 	 10 	 32 	 4 	 2000 	 4875.895566
1 	 0.450000 	 0.050000 	 0.500000 	 32 	4000 	 10 	 32 	 4 	 2000 	 6548.751007
2 	 0.450000 	 0.050000 	 0.500000 	 32 	4000 	 10 	 32 	 4 	 2000 	 8749.826675
3 	 0.450000 	 0.050000 	 0.500000 	 32 	4000 	 10 	 32 	 4 	 2000 	 16209.482332
0 	 0.090000 	 0.010000 	 0.750000 	 32 	4000 	 10 	 32 	 4 	 2000 	 7771.864066
1 	 0.090000 	 0.010000 	 0.750000 	 32 	4000 	 10 	 32 	 4 	 2000 	 5850.949557
2 	 0.090000 	 0.010000 	 0.750000 	 32 	4000 	 10 	 32 	 4 	 2000 	 4690.270113
3 	 0.090000 	 0.010000 	 0.750000 	 32 	4000 	 10 	 32 	 4 	 2000 	 5622.143980
0 	 0.450000 	 0.050000 	 0.750000 	 32 	4000 	 10 	 32 	 4 	 2000 	 4153.609740
1 	 0.450000 	 0.050000 	 0.750000 	 32 	4000 	 10 	 32 	 4 	 2000 	 5345.401817
2 	 0.450000 	 0.050000 	 0.750000 	 32 	4000 	 10 	 32 	 4 	 2000 	 4935.268756
3 	 0.450000 	 0.050000 	 0.750000 	 32 	4000 	 10 	 32 	 4 	 2000 	 4544.825173
0 	 0.090000 	 0.010000 	 0.900000 	 32 	4000 	 10 	 32 	 4 	 2000 	 3719.419997
1 	 0.090000 	 0.010000 	 0.900000 	 32 	4000 	 10 	 32 	 4 	 2000 	 5776.464858
